Число     | 1 тест  | 2 тест  | 3 тест  | 4 тест  | 5 тест  | 6 тест  | 7 тест  | 8 тест  | 9 тест  | 10 тест | 11 тест | 12 тест | 13 тест | 14 тест | 15 тест | 16 тест | 17 тест | 18 тест | 19 тест | 20 тест | 21 тест | 22 тест | 23 тест | 24 тест | 25 тест | 26 тест | 27 тест | 28 тест | 29 тест | 30 тест | 31 тест | 32 тест | 33 тест | 34 тест | 35 тест | 36 тест | 37 тест | 38 тест | 39 тест | 40 тест | 41 тест | 42 тест | 43 тест | 44 тест | 45 тест | 46 тест | 47 тест | 48 тест | 49 тест | 50 тест | 51 тест | 52 тест | 53 тест | 54 тест | 55 тест | 56 тест | 57 тест | 58 тест | 59 тест | 60 тест | 61 тест | 62 тест | 63 тест | 64 тест | 65 тест | 66 тест | 67 тест | 68 тест | 69 тест | 70 тест | 71 тест | 72 тест | 73 тест | 74 тест | 75 тест | 76 тест | 77 тест | 78 тест | 79 тест | 80 тест | 81 тест | 82 тест | 83 тест | 84 тест | 85 тест | 86 тест | 87 тест | 88 тест | 89 тест | 90 тест | 91 тест | 92 тест | 93 тест | 94 тест | 95 тест | 96 тест | 97 тест | 98 тест | 99 тест | 100 тест | 
33        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
34        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
35        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
36        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
37        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
38        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
39        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
40        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
41        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
42        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
43        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
44        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
45        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
46        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
47        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
48        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
49        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
50        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
51        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
52        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
53        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
54        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
55        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
56        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
57        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
58        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
59        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
60        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
61        |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    |    +    | 
62        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
63        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
64        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
65        |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    | 
